day,tranche,accts,balance,past_due_amt,amount_owed_to_dt,total_payments_amt
2022-06-17,8-14,136,166497.2023087846,7839.49,7447.16,1549.81
2022-06-17,Current,5427,7204288.957275705,5283.64,47058.05,69065.03
2022-06-18,1-7,203,231741.0108180039,6477.14,6765.03,5276.31
2022-06-18,15-29,193,247233.9206155881,15923.21,13899.86,1024.66
2022-06-18,30-44,39,52526.2389815089,5221.18,4645.71,35.77
2022-06-18,45-59,16,19244.1120299144,2593.93,2322.64,0
2022-06-18,60-74,1,978.9502690718,151.9,136.71,0
2022-06-18,8-14,159,182883.060050323,6659.75,8050.52,1995.02
2022-06-18,Current,5302,7044589.3321872,2751.25,44141.47,65922.92
2022-06-19,1-7,209,235269.6089378436,6830.2,6509.4,5154.64
2022-06-19,15-29,174,227877.7270461609,14109.51,12401.28,923
2022-06-19,30-44,58,71908.2923641433,6833.06,5897.41,137.43
2022-06-19,45-59,17,22421.6986109875,2943.37,2622.16,0
2022-06-19,60-74,1,979.8523855376,151.9,136.71,0
2022-06-19,8-14,159,182690.3790404375,6586.27,8018.36,1995.02
2022-06-19,Current,5282,7001315.615535928,2529.39,44376.62,66282.32
2022-06-20,1-7,196,215754.3349566413,6858.79,7616.56,4985.27
2022-06-20,15-29,174,230381.892912905,14323.9,12989.89,972.04
2022-06-20,30-44,53,66483.0275811119,6478.36,5590.53,137.43
2022-06-20,45-59,21,26103.7919923026,3305.49,2981.39,0
2022-06-20,60-74,2,2812.5152985837,441.85,426.66,0
2022-06-20,8-14,154,173564.1635395164,6462.36,7626.03,1792.08
2022-06-20,Current,5366,7059001.763744042,4221.18,48021.79,68940.26
2022-06-21,1-7,203,223301.7098735206,7764.57,9508.31,4074.23
2022-06-21,15-29,179,236394.6801759651,14924.5,15382.69,1068.74
2022-06-21,30-44,54,67568.3063635501,6621.55,6228,137.43
2022-06-21,45-59,20,23515.4604678781,2899.99,2860.15,0
2022-06-21,60-74,3,5427.6801190258,847.35,847.35,0
2022-06-21,8-14,158,180052.4347148951,6779.81,8332.42,1790.77
2022-06-21,Current,5448,7167246.465474344,3621.87,61146.38,72712.26
2022-06-22,1-7,217,234486.1589714015,8668.67,11728.14,4117.89
2022-06-22,15-29,184,238506.9353140727,15120.77,15468.03,1035.38
2022-06-22,30-44,60,76010.3232926697,7574.56,7440.61,170.79
2022-06-22,45-59,19,20980.6485333177,2549.95,2541.43,0
2022-06-22,60-74,4,7989.3253496038,1205.91,1205.91,0
2022-06-22,8-14,158,178886.2170834343,6819.64,8353.29,2174.9
2022-06-22,Current,5544,7312233.087208091,4214.1,63032.49,74180.71
2022-06-23,1-7,236,264783.9426498954,9569.21,12496.57,4841.15
2022-06-23,15-29,192,239598.9114720781,15390.24,15516.18,1204.29
2022-06-23,30-44,62,81698.2341834998,8323.26,7887.18,170.79
2022-06-23,45-59,21,24839.5004710917,3126.41,3024.67,0
2022-06-23,60-74,4,7996.6499555218,1205.91,1205.91,0
2022-06-23,8-14,162,191754.3048093722,8191.42,9109.44,2138.03
2022-06-23,Current,5596,7362634.295646699,3731.1,64026.58,78916.38
2022-06-24,1-7,248,259820.7514953046,10136.88,12031.77,4198.24
2022-06-24,15-29,209,267712.7403675395,18380.35,17222.29,1462.68
2022-06-24,30-44,65,87081.9882206603,9138.5,8578.02,280.78
2022-06-24,45-59,25,28994.5776605162,3863.7,3564.25,0
2022-06-24,60-74,4,8003.9745614398,1221.1,1205.91,0
2022-06-24,8-14,152,178098.7025732597,9234.96,8843.84,2213.97
2022-06-24,Current,5595,7345707.373726248,6488.5,66323.41,92639.9
2022-06-25,1-7,269,287951.104762376,10719.34,10121.16,4569.16
2022-06-25,15-29,270,338034.5282289915,22463.16,20124.42,2196.59
2022-06-25,30-44,73,94531.4444262129,9908.51,8856.73,360.68
2022-06-25,45-59,28,33727.5419524026,4414.73,4115.28,0
2022-06-25,60-74,4,8011.2991673578,1260.94,1205.91,0
2022-06-25,8-14,179,191470.8737714296,7330.91,9265.78,3033.66
2022-06-25,Current,5476,7213098.93480433,3264.91,64080.21,91294.6
2022-06-26,1-7,270,294825.6512885958,10678.47,9617.55,4740.71
2022-06-26,15-29,237,296449.981026446,18817.13,17276.32,2083.95
2022-06-26,30-44,104,132809.6781853017,13061.34,11251.79,473.32
2022-06-26,45-59,30,38552.6790325656,4948.79,4544.4,0
